MM	CS	Bin width	CS error
1.355000	0.000000	0.005000	0.000000
1.365000	0.352019	0.005000	0.107548
1.375000	0.000000	0.005000	0.000000
1.385000	0.133967	0.005000	0.051750
1.395000	0.031354	0.005000	0.017312
1.405000	0.259026	0.005000	0.085226
1.415000	0.688546	0.005000	0.179149
1.425000	7.561025	0.005000	1.140985
1.435000	30.653062	0.005000	3.494838
1.445000	116.478457	0.005000	10.613426
1.455000	268.719335	0.005000	21.851942
1.465000	341.251531	0.005000	26.969626
1.475000	275.648952	0.005000	22.345516
1.485000	179.329785	0.005000	15.366663
1.495000	106.305390	0.005000	9.820456
1.505000	64.151302	0.005000	6.422055
1.515000	43.292433	0.005000	4.636546
1.525000	33.643389	0.005000	3.770518
1.535000	33.944594	0.005000	3.798072
1.545000	28.842885	0.005000	3.325935
1.555000	23.401685	0.005000	2.807446
1.565000	21.799763	0.005000	2.651209
1.575000	17.098946	0.005000	2.180839
1.585000	19.602163	0.005000	2.433710
1.595000	13.735886	0.005000	1.830595

