mass	w/o res 	w/res   	Fres
1331	0.076434872	0.076283678	0.091091469
1332	0.081750667	0.083145407	0.105830409
1333	0.087311506	0.090397939	0.119636215
1334	0.09313971	0.098049708	0.13282986
1335	0.099255625	0.106109956	0.145610079
1336	0.105678905	0.114588937	0.158110201
1337	0.112429818	0.123498142	0.170426458
1338	0.119527531	0.132850884	0.182628527
1339	0.126993132	0.14266222	0.194772348
1340	0.134848785	0.152949274	0.206902951
1341	0.143118207	0.163732025	0.219058096
1342	0.151826298	0.175032505	0.231270343
1343	0.160996995	0.186875882	0.243564084
1344	0.170659612	0.199290473	0.255966365
1345	0.180842731	0.212307633	0.268498242
1346	0.191578065	0.225962273	0.281181037
1347	0.202898704	0.240292712	0.294033617
1348	0.214840266	0.255341086	0.307074219
1349	0.227439231	0.271153267	0.32031855
1350	0.240736664	0.287779389	0.33378458
1351	0.254776352	0.30527295	0.347490072
1352	0.269602901	0.323692442	0.361449242
1353	0.285266584	0.343100018	0.375680119
1354	0.301818884	0.363562661	0.390197873
1355	0.31931559	0.385152127	0.405019015
1356	0.337817891	0.407944856	0.42016083
1357	0.357388995	0.432022144	0.435640216
1358	0.378095606	0.457470744	0.451471806
1359	0.400014526	0.484382457	0.467677772
1360	0.423221617	0.512855513	0.484273583
1361	0.447801923	0.542993459	0.501278996
1362	0.473845067	0.574905496	0.518713176
1363	0.501450242	0.608709046	0.536599934
1364	0.530717825	0.644526877	0.554956913
1365	0.561757294	0.682488654	0.573805511
1366	0.594688275	0.722732697	0.593170166
1367	0.629637839	0.765403563	0.613074899
1368	0.666742214	0.810654357	0.633546352
1369	0.706145734	0.858646066	0.654609263
1370	0.748002879	0.909547346	0.676290929
1371	0.79247955	0.963535902	0.6986202
1372	0.839759349	1.020796714	0.721633375
1373	0.890026763	1.081524415	0.745357275
1374	0.943484972	1.145920313	0.769827187
1375	1.000353207	1.214195088	0.795081079
1376	1.060858644	1.286565273	0.821154952
1377	1.125247813	1.363255004	0.848089218
1378	1.193787651	1.444495813	0.875931621
1379	1.266746203	1.530522656	0.904720426
1380	1.344420628	1.62157664	0.934506714
1381	1.427133679	1.717900458	0.965350211
1382	1.515192449	1.819739427	0.997291267
1383	1.608946817	1.927337858	1.03039277
1384	1.708773164	2.040940416	1.06472528
1385	1.815031825	2.160783609	1.10034513
1386	1.928114182	2.287099711	1.1373235
1387	2.04844271	2.420110012	1.17574537
1388	2.176412298	2.560023646	1.21568012
1389	2.312465035	2.707033001	1.25722396
1390	2.457036187	2.861311222	1.30047369
1391	2.610533464	3.023009674	1.3455162
1392	2.773394085	3.192248364	1.39246929
1393	2.946016051	3.36911907	1.44143844
1394	3.128824262	3.553675384	1.49256694
1395	3.322170793	3.745931223	1.54598248
1396	3.526394498	3.945856119	1.60183859
1397	3.741743598	4.153366483	1.66028368
1398	3.968466903	4.368324215	1.72150517
1399	4.206683562	4.59053472	1.78568625
1400	4.456437695	4.819735047	1.85303354
1401	4.717695768	5.055594707	1.92378318
1402	4.990223493	5.297705144	1.99816561
1403	5.273758781	5.5455885	2.07647657
1404	5.567790268	5.798671189	2.15899944
1405	5.871706854	6.056303319	2.24607587
1406	6.184693603	6.317744499	2.33806634
1407	6.505760867	6.582157733	2.43537188
1408	6.833799846	6.848622645	2.53846312
1409	7.167464836	7.116130163	2.64783049
1410	7.505363775	7.383577232	2.7640686
1411	7.845839448	7.649793747	2.8877914
1412	8.18714196	7.913542063	3.01969743
1413	8.527637916	8.173518831	3.16064882
1414	8.865541267	8.42840039	3.31157851
1415	9.198971525	8.676845414	3.47351289
1416	9.526286471	8.917529384	3.64771175
1417	9.845875642	9.149192151	3.83559632
1418	10.15631391	9.370645088	4.03885269
1419	10.45629701	9.580823962	4.25944281
1420	10.74471926	9.778845436	4.49969578
1421	11.0207688	9.964030055	4.76245546
1422	11.28377323	10.13594982	5.05115795
1423	11.53317659	10.29447149	5.37002659
1424	11.76860297	10.43976713	5.72443628
1425	11.98954233	10.57235386	6.12126589
1426	12.19528252	10.69310442	6.56970167
1427	12.38427574	10.80321802	7.0823617
1428	12.55315285	10.90424514	7.67755747
1429	12.69449252	10.99801154	8.38414478
1430	12.79004232	11.08659712	9.25382614
1431	12.78180738	11.17226977	10.4066133
1432	11.41191863	11.25738825	12.7102766
1433	10.0996965	11.3443272	13.6955175
1434	9.783788881	11.4353845	14.6933422
1435	9.693569893	11.5326736	15.7552586
1436	9.727828002	11.6380238	16.9006557
1437	9.844526398	11.75288759	18.1344662
1438	10.02730195	11.87824448	19.4700966
1439	10.27037644	12.01453039	20.9259472
1440	10.57071075	12.16158122	22.5189495
1441	10.91787003	12.3186045	24.2455235
