#	dkng5ka-kn-c1e6c1e6-220724a		
#mass	w/o res 	w/res   	Fres
1331	0.074989806	7.26E-02	0.088431738
1332	0.079936247	7.91E-02	0.102718525
1333	0.085102723	8.59E-02	0.116092838
1334	0.090510865	9.31E-02	0.128867477
1335	0.096178928	1.01E-01	0.141234204
1336	0.102125736	1.09E-01	0.153323367
1337	0.108369105	1.17E-01	0.165226683
1338	0.114928267	1.26E-01	0.177014574
1339	0.121821809	1.35E-01	0.188739747
1340	0.129069798	1.44E-01	0.200445145
1341	0.136693723	1.54E-01	0.212167278
1342	0.144716601	1.65E-01	0.223937228
1343	0.153161384	1.76E-01	0.235780254
1344	0.162053344	1.88E-01	0.24771966
1345	0.17141992	2.00E-01	0.259777337
1346	0.181289758	2.12E-01	0.271972865
1347	0.191694106	2.26E-01	0.284325361
1348	0.202664334	2.39E-01	0.296849579
1349	0.214234909	2.54E-01	0.309562027
1350	0.226445428	2.70E-01	0.322481811
1351	0.239333032	2.86E-01	0.335620314
1352	0.252941283	3.03E-01	0.348994434
1353	0.267316792	3.21E-01	0.362620652
1354	0.282507298	3.40E-01	0.376513004
1355	0.298563837	3.60E-01	0.390684485
1356	0.315544823	3.81E-01	0.405154288
1357	0.333510324	4.03E-01	0.419938147
1358	0.352523646	4.27E-01	0.435049653
1359	0.372652919	4.52E-01	0.45050478
1360	0.393973149	4.78E-01	0.466320962
1361	0.416565681	5.06E-01	0.482517689
1362	0.440512797	5.36E-01	0.49910894
1363	0.465908458	5.68E-01	0.516115665
1364	0.492854339	6.01E-01	0.533560157
1365	0.521456752	6.37E-01	0.551461697
1366	0.551824365	6.74E-01	0.56983602
1367	0.584082225	7.15E-01	0.588706434
1368	0.618365069	7.57E-01	0.608098686
1369	0.654814275	8.03E-01	0.628035128
1370	0.693583631	8.51E-01	0.648541808
1371	0.734834461	9.02E-01	0.669641972
1372	0.778752956	9.56E-01	0.691370428
1373	0.825517029	1.01E+00	0.713745713
1374	0.87534302	1.08E+00	0.736808121
1375	0.928445434	1.14E+00	0.760584414
1376	0.985063904	1.21E+00	0.7851125
1377	1.045446852	1.29E+00	0.810422957
1378	1.109872857	1.36E+00	0.83655864
1379	1.178631587	1.45E+00	0.863559127
1380	1.252031664	1.54E+00	0.891463757
1381	1.330406102	1.63E+00	0.920318842
1382	1.414120475	1.73E+00	0.950178087
1383	1.503545479	1.84E+00	0.98108834
1384	1.599080589	1.95E+00	1.01310241
1385	1.701154429	2.07E+00	1.04627967
1386	1.810217561	2.19E+00	1.08068466
1387	1.926729774	2.33E+00	1.11637628
1388	2.051200993	2.47E+00	1.15343523
1389	2.184120558	2.61E+00	1.19192374
1390	2.326039115	2.77E+00	1.23193622
1391	2.477481341	2.93E+00	1.27355015
1392	2.639001689	3.10E+00	1.31686211
1393	2.811139309	3.28E+00	1.3619678
1394	2.994448599	3.47E+00	1.40898144
1395	3.189437951	3.67E+00	1.45801258
1396	3.396592687	3.87E+00	1.50918627
1397	3.616393745	4.09E+00	1.56265342
1398	3.849169847	4.31E+00	1.61853707
1399	4.095236313	4.54E+00	1.67700601
1400	4.354790797	4.77E+00	1.73823774
1401	4.627890234	5.02E+00	1.80241799
1402	4.914427036	5.27E+00	1.86975026
1403	5.214105541	5.52E+00	1.94045603
1404	5.526446274	5.78E+00	2.01478648
1405	5.850679998	6.05E+00	2.09300089
1406	6.18584023	6.32E+00	2.17540622
1407	6.530609996	6.59E+00	2.26231527
1408	6.883488904	6.86E+00	2.35411239
1409	7.242538547	7.13E+00	2.45116687
1410	7.605725043	7.41E+00	2.55395675
1411	7.970579014	7.68E+00	2.66294432
1412	8.334606364	7.94E+00	2.77871871
1413	8.694971307	8.21E+00	2.90186954
1414	9.048888303	8.46E+00	3.03311634
1415	9.393537469	8.71E+00	3.1732614
1416	9.72609724	8.95E+00	3.32319188
1417	10.04399483	9.18E+00	3.48395348
1418	10.34487181	9.39E+00	3.65674043
1419	10.62669219	9.60E+00	3.84293461
1420	10.88760929	9.79E+00	4.04408073
1421	11.12661643	9.96E+00	4.26215649
1422	11.34266337	1.01E+01	4.49931765
1423	11.53535732	1.03E+01	4.75824738
1424	11.70466982	1.04E+01	5.04218578
1425	11.8507625	1.05E+01	5.35507011
1426	11.97410519	1.06E+01	5.70186806
1427	12.07495585	1.07E+01	6.08878708
1428	12.15361263	1.07E+01	6.52408648
1429	12.20946499	1.08E+01	7.01875687
1430	12.2404443	1.08E+01	7.58826542
1431	12.24152133	1.09E+01	8.25580883
1432	12.20057823	1.09E+01	9.05947971
1433	12.08553772	1.09E+01	10.0729265
1434	11.77473716	1.09E+01	11.5048952
1435	9.680826759	1.10E+01	13.7502031
1436	9.165288909	1.10E+01	14.7921619
1437	9.013411593	1.11E+01	15.8792467
1438	9.01154229	1.11E+01	17.0470543
1439	9.100396529	1.12E+01	18.3050194
1440	9.255800575	1.12E+01	19.6634312
1441	9.469138186	1.13E+01	21.1402168
1442	9.737284632	1.14E+01	22.7550545
1443	10.05443349	1.16E+01	24.5157051
1444	10.41226498	1.17E+01	26.4188538
1445	10.80985785	1.18E+01	28.4759159
1446	11.24263849	1.20E+01	30.6870193
1447	11.70489512	1.21E+01	33.0466614
1448	12.19326765	1.23E+01	35.5536652
1449	12.70188351	1.24E+01	38.19767
1450	13.21695403	1.25E+01	40.9415207
1451	13.72721476	1.27E+01	43.7510109
1452	14.21966005	1.28E+01	46.5821381
1453	14.67694774	1.28E+01	49.3718033
1454	15.06496049	1.29E+01	51.9930038
1455	15.36195479	1.29E+01	54.3507271
1456	15.55027275	1.29E+01	56.3576279
1457	15.61642388	1.29E+01	57.9358749
1458	15.55282048	1.28E+01	59.0257683
1459	15.35772361	1.27E+01	59.5880623
1460	15.0381117	1.25E+01	59.6176262
1461	14.60702617	1.23E+01	59.1365128
1462	14.08247677	1.21E+01	58.191906
1463	13.48546228	1.18E+01	56.8496437
1464	12.82922948	1.15E+01	55.1494408
1465	12.13382658	1.12E+01	53.1651421
1466	11.42088884	1.08E+01	50.9843979
1467	10.70845863	1.05E+01	48.6855965
1468	10.01015293	1.01E+01	46.3325958
1469	9.336866864	9.66E+00	43.9807701
1470	8.697279465	9.25E+00	41.6784248
1471	8.098604194	8.82E+00	39.4694481
1472	7.540777387	8.39E+00	37.3639603
1473	7.022760519	7.97E+00	35.3670425
1474	6.543140748	7.55E+00	33.4815178
1475	6.099977983	7.14E+00	31.706871
1476	5.69076138	6.74E+00	30.0389805
1477	5.313380437	6.35E+00	28.4749374
1478	4.96394786	5.98E+00	27.0015068
1479	4.64076813	5.62E+00	25.6162224
1480	4.342096308	5.28E+00	24.3157825
1481	4.066210066	4.96E+00	23.0964394
1482	3.811321315	4.65E+00	21.9534531
1483	3.575707332	4.36E+00	20.8819275
1484	3.357885091	4.09E+00	19.8777695
1485	3.156336409	3.84E+00	18.9362106
1486	2.969448034	3.60E+00	18.0514145
1487	2.795532189	3.38E+00	17.2165337
1488	2.633747191	3.17E+00	16.4294624
1489	2.483257608	2.98E+00	15.6878681
1490	2.343163153	2.80E+00	14.9887123
1491	2.212744384	2.63E+00	14.3298607
1492	2.091181596	2.48E+00	13.7082596
1493	1.977831181	2.33E+00	13.1217823
1494	1.872014533	2.20E+00	12.567832
1495	1.773196703	2.07E+00	12.0446033
1496	1.680818445	1.95E+00	11.5499201
1497	1.594316443	1.85E+00	11.0814123
1498	1.513344801	1.74E+00	10.6380663
1499	1.437442156	1.65E+00	10.2179155
1500	1.36625843	1.56E+00	9.81965065
1501	1.299427635	1.48E+00	9.44174862
1502	1.236629009	1.40E+00	9.08289051
1503	1.177635375	1.33E+00	8.74235153
1504	1.122131729	1.26E+00	8.41867352
1505	1.069874252	1.20E+00	8.11083317
1506	1.020651893	1.14E+00	7.81799984
1507	0.97425339	1.09E+00	7.53924894
1508	0.93048235	1.03E+00	7.27372503
1509	0.889165933	9.84E-01	7.02067423
1510	0.850184478	9.38E-01	6.77973843
1511	0.81334646	8.94E-01	6.54992199
1512	0.77850474	8.52E-01	6.33053684
1513	0.745542015	8.12E-01	6.12109566
1514	0.714332605	7.74E-01	5.92100239
1515	0.684775121	7.38E-01	5.72982025
1516	0.656760374	7.02E-01	5.54701996
1517	0.630187444	6.68E-01	5.37210512
1518	0.604983834	6.34E-01	5.20479393
1519	0.581053389	6.00E-01	5.04457474
1520	0.55832738	5.66E-01	4.89114714
1521	0.536119578	5.33E-01	4.73873091
1522	0.516164193	4.99E-01	4.602911
1523	0.496619813	4.64E-01	4.46765375
1524	0.478024693	4.30E-01	4.33794212
1525	0.460300787	3.95E-01	4.21328592
1526	0.443417788	3.60E-01	4.09360886
1527	0.427330157	3.26E-01	3.978688
1528	0.411990548	2.92E-01	3.86826468
