	dkng5k0-kn-c1e6c1e6-220724a		
mass	w/o res         w/res   	Fres
1331	0.093364517	0.082410483	0.085878782
1332	0.098594676	0.089496755	0.099731989
1333	0.104030863	0.096940827	0.112693503
1334	0.109696641	0.10474567	0.125066757
1335	0.115611959	0.112914906	0.137038991
1336	0.121795592	0.121453363	0.148736104
1337	0.128265456	0.130367022	0.160246998
1338	0.135040321	0.139663772	0.171639517
1339	0.142138736	0.149353333	0.182965085
1340	0.149580965	0.159447768	0.194266558
1341	0.157386574	0.169961646	0.205577359
1342	0.165577711	0.18091229	0.216927186
1343	0.174177644	0.192320248	0.228342056
1344	0.183209984	0.204208904	0.239843994
1345	0.192700117	0.216605571	0.251452357
1346	0.20267627	0.229540557	0.263187289
1347	0.213167641	0.243047903	0.27506578
1348	0.22420438	0.25716574	0.287103027
1349	0.235819333	0.27193586	0.299314171
1350	0.248049108	0.287404408	0.311715841
1351	0.26093065	0.303621168	0.324321747
1352	0.274504665	0.320640153	0.337146372
1353	0.288813101	0.338520323	0.350202709
1354	0.303904011	0.357324632	0.363506883
1355	0.319825916	0.377120681	0.377071738
1356	0.336631358	0.39798117	0.390911728
1357	0.354377697	0.41998401	0.405041188
1358	0.373126295	0.443211955	0.419475615
1359	0.392941835	0.467754057	0.434229732
1360	0.413896604	0.493704669	0.449320406
1361	0.436061735	0.521164649	0.464759767
1362	0.459522533	0.550241708	0.480567753
1363	0.484364001	0.581050262	0.496759653
1364	0.510678124	0.613713285	0.513351381
1365	0.538570553	0.648359735	0.530365884
1366	0.568151628	0.68512862	0.54782331
1367	0.599533135	0.724167408	0.565738678
1368	0.63283769	0.765633001	0.58412993
1369	0.668208583	0.809691066	0.603025079
1370	0.705790494	0.856519595	0.622445166
1371	0.745737696	0.906304984	0.642411768
1372	0.788224159	0.959245695	0.662952602
1373	0.833430351	1.015551841	0.684092045
1374	0.881554215	1.075444208	0.705857098
1375	0.932807618	1.139155033	0.728277087
1376	0.987424085	1.206928303	0.75138557
1377	1.04564678	1.27901987	0.775211513
1378	1.107739906	1.355695069	0.799788356
1379	1.173994787	1.43722955	0.825155437
1380	1.244706973	1.523909685	0.851343155
1381	1.320222549	1.61602763	0.878402591
1382	1.400878628	1.713883666	0.90636456
1383	1.487060057	1.817782434	0.935279548
1384	1.579181199	1.928029902	0.965200961
1385	1.677662364	2.044931915	0.996172786
1386	1.782961343	2.168791481	1.02824879
1387	1.895564563	2.299904118	1.0614872
1388	2.015997332	2.438552612	1.0959537
1389	2.144792585	2.585003846	1.13171208
1390	2.282516473	2.739504493	1.16883194
1391	2.429743397	2.902273767	1.20738089
1392	2.587093754	3.073497941	1.24744773
1393	2.755187093	3.253323437	1.28911698
1394	2.934640724	3.441852155	1.33247948
1395	3.126077727	3.63913006	1.37763298
1396	3.330120531	3.845146452	1.42469108
1397	3.54733407	4.059822327	1.47376513
1398	3.778237051	4.283006708	1.52497184
1399	4.023301755	4.514461599	1.5784502
1400	4.282919676	4.753875563	1.63435447
1401	4.557292491	5.000834851	1.69282246
1402	4.846562539	5.254834198	1.75404346
1403	5.150622541	5.515265956	1.81819475
1404	5.469154913	5.781429327	1.88547945
1405	5.801597394	6.052506322	1.95612144
1406	6.147066429	6.327593581	2.03036118
1407	6.50432084	6.605677611	2.10845137
1408	6.871855833	6.885647559	2.19070363
1409	7.247752064	7.166302665	2.27744174
1410	7.629609268	7.446362954	2.36899996
1411	8.014754858	7.724468852	2.46577239
1412	8.400214777	7.999193117	2.56821322
1413	8.782641205	8.269066457	2.67679191
1414	9.158543637	8.532575831	2.79206157
1415	9.524250055	8.788199986	2.91461635
1416	9.876171736	9.034411847	3.04515529
1417	10.21080332	9.269719006	3.18445373
1418	10.52480855	9.49267281	3.33337212
1419	10.81537424	9.701909546	3.49293995
1420	11.08000478	9.896179344	3.66429234
1421	11.31672929	10.074366	3.84873319
1422	11.52439771	10.23553975	4.04784727
1423	11.7022057	10.37898288	4.26339865
1424	11.85008231	10.50422677	4.49751949
1425	11.96847796	10.61108497	4.75272846
1426	12.05834637	10.69967299	5.03208303
1427	12.12092582	10.77045942	5.33927488
1428	12.15764851	10.82425853	5.67886829
1429	12.16993835	10.86225006	6.05659866
1430	12.15905512	10.88597836	6.47986937
1431	12.12565713	10.89733678	6.95845318
1432	12.06914382	10.89853633	7.5056901
1433	11.98678444	10.89206512	8.14082527
1434	11.87121024	10.88063078	8.8935461
1435	11.70430364	10.86710511	9.81537628
1436	11.43376619	10.85440937	11.0170174
1437	10.76040448	10.84544836	12.9590597
1438	8.90538538	10.84301051	14.8611622
1439	8.658561388	10.84965249	15.9840326
1440	8.617117295	10.86759185	17.1746521
1441	8.683555217	10.89864275	18.458559
1442	8.820735859	10.94409793	19.8417835
1443	9.015550965	11.00466524	21.340744
1444	9.263784054	11.08041645	22.9765244
1445	9.563227432	11.17074932	24.767849
1446	9.903619076	11.27437936	26.7076702
1447	10.28249807	11.38932904	28.8044662
1448	10.69777304	11.5130104	31.0656052
1449	11.14211483	11.64222248	33.4810257
1450	11.61186375	11.7732883	36.0486336
1451	12.10234627	11.9021308	38.7612076
1452	12.60197214	12.02438987	41.5866547
1453	13.09746646	12.13556029	44.4825172
1454	13.57598997	12.23111782	47.4027481
1455	14.02243295	12.3066735	50.2882385
1456	14.40837387	12.358095	53.0253487
1457	14.70527052	12.38164097	55.4894676
1458	14.89616282	12.37409976	57.590332
1459	14.9671349	12.33283387	59.2438622
1460	14.9103641	12.25592107	60.3856735
1461	14.72449442	12.14215689	60.9757385
1462	14.41591099	11.99112306	61.0064583
1463	13.99783348	11.80316442	60.5024071
1464	13.48813453	11.57937243	59.5135918
1465	12.90779516	11.32154886	58.1105728
1466	12.27467634	11.03213156	56.3572922
1467	11.60309248	10.71409378	54.3073349
1468	10.91474981	10.37087901	52.0548325
1469	10.22694174	10.00623437	49.680027
1470	9.553536296	9.624161036	47.2523232
1471	8.904600817	9.228756719	44.8268242
1472	8.287278888	8.824113354	42.4472046
1473	7.709697432	8.414230492	40.1645927
1474	7.172434796	8.002905564	37.9929199
1475	6.674367338	7.593674447	35.9371185
1476	6.213733695	7.189741402	33.9981384
1477	5.788641374	6.79394191	32.1755257
1478	5.396684254	6.408717523	30.4652233
1479	5.035768151	6.036097305	28.8640709
1480	4.702415292	5.677699475	27.3601246
1481	4.394175475	5.334763551	25.9462261
1482	4.109555061	5.00814384	24.6200352
1483	3.846754347	4.698377388	23.3769245
1484	3.604056523	4.405687353	22.212038
1485	3.379874732	4.130044461	21.1207371
1486	3.172773067	3.871202453	20.098793
1487	2.981150664	3.628736451	19.140419
1488	2.803860146	3.402079073	18.242178
1489	2.638991469	3.190563112	17.3952274
1490	2.485657978	2.993443396	16.5968952
1491	2.343060882	2.809931639	15.8447714
1492	2.210343436	2.639217313	15.1357937
1493	2.086834089	2.480482621	14.4678707
1494	1.971700637	2.332924882	13.8375425
1495	1.864393219	2.195762192	13.2430763
1496	1.764256601	2.068243813	12.6817865
1497	1.670783	1.94965861	12.1518307
1498	1.583434525	1.839332981	11.6509771
1499	1.501700292	1.736638685	11.1769943
1500	1.425182455	1.640987534	10.7283373
1501	1.353453267	1.55183656	10.3030882
1502	1.286174886	1.468680773	9.89988422
1503	1.22303052	1.39105394	9.51739597
1504	1.163742663	1.318526787	9.1545105
1505	1.108052371	1.250698654	8.81014919
1506	1.055648212	1.187199955	8.48273468
1507	1.006322907	1.127685432	8.17142296
1508	0.959884958	1.071828287	7.87543726
1509	0.916110482	1.019320385	7.59365463
1510	0.874817775	0.969860711	7.32522964
1511	0.835848751	0.923159178	7.06946325
1512	0.799072904	0.87892601	6.82583427
1513	0.764337615	0.836870653	6.5935874
1514	0.73147185	0.796700497	6.37174797
1515	0.700400589	0.758118391	6.16013575
1516	0.670988482	0.720825278	5.95800352
1517	0.643130188	0.684523697	5.76483011
1518	0.616728306	0.648925264	5.5801301
1519	0.591699257	0.613759794	5.40351057
1520	0.567951155	0.578787011	5.23446894
1521	0.545421717	0.543809947	5.07275915
1522	0.524006887	0.508688511	4.91770458
1523	0.503662274	0.473351444	4.76917505
1524	0.484316874	0.437805604	4.62676239
1525	0.465923872	0.402140424	4.49026775
1526	0.448424229	0.366527398	4.35935879
1527	0.431749162	0.331212297	4.23358679
1528	0.415861983	0.296501524	4.11279869
